path,tag,name,keyword,VR,private,value,count
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10001304041304060303041004101403,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12151114030903000211100702060009,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02031303080313100507120501150506,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06150706081207041203070111090707,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06150108111302000413130014070915,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.07031408150101110505001201030207,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14070208080209001506081402060503,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04040803080402061202041005000304,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13090607110001000310151006050113,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14121200111500000012151207021305,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04060811050000140014040410080212,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12060607091105150404131215110908,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09030712140506070904071003000708,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02050314081501100100131400110412,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14140312010015010504081306061203,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03131510081105080011060404010511,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.05060902130204131205041207051405,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.01100509051301061200120505020711,1
